,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
0,01007010001,0,0,1,,,1
1,01007010002,1,0,1,2.0,0.2953598503421737,0
2,01007010003,0,1,1,,,1
3,01007010004,0,0,1,,,1
4,01087231900,0,0,1,,,1
5,01087231603,1,0,1,3.0,0.25069656043532274,0
6,01087231601,0,0,1,,,1
7,01087231602,0,0,1,,,1
8,01087231700,0,0,1,,,1
9,01087231500,1,0,1,2.0,0.23639598250205668,0
10,01087232200,1,0,1,3.0,0.14226009965200503,0
11,01087232100,0,0,1,,,1
12,01087232000,0,0,1,,,1
13,01087231800,0,0,1,,,1
14,01087231400,0,0,1,,,1
15,01087232300,0,0,1,,,1
16,01001020801,0,0,0,,,0
17,01001020802,0,1,1,,,1
18,01105687100,0,0,1,,,1
19,01105686800,0,0,1,,,1
20,01085781000,0,0,1,,,1
21,01105687000,1,0,1,3.0,0.17871785839755394,0
22,01033020901,0,0,1,,,1
23,01085781100,0,0,1,,,1
24,01085781200,0,0,1,,,1
25,01085780800,1,0,1,3.0,0.05017059783680262,0
26,01095030903,0,0,1,,,1
27,01095030701,0,0,1,,,1
28,01095030904,0,0,1,,,1
29,01095030401,0,0,1,,,1
30,01095030402,0,0,0,,,0
31,01095030702,0,0,1,,,1
32,01121010202,0,0,0,,,0
33,01121010302,0,0,0,,,0
34,01129044100,0,0,1,,,1
35,01129043900,0,1,1,,,1
36,01129044200,1,0,1,2.0,0.2309258337541581,0
37,01129044300,0,0,1,,,1
38,01129044000,0,0,0,,,0
39,01081040902,0,0,1,,,1
40,01123962600,0,0,1,,,1
41,01123962502,0,0,0,,,0
42,01123962700,0,0,0,,,0
43,01123962100,0,0,1,,,1
44,01097007500,0,0,1,,,1
45,01097006701,0,0,1,,,1
46,01097007400,1,0,1,3.0,0.3541618853308422,0
47,01097007600,0,0,1,,,1
48,01097007700,0,0,1,,,1
49,01097007201,0,0,1,,,1
50,01097007202,0,0,0,,,0
51,01097006406,0,0,0,,,0
52,01097006407,0,0,0,,,0
53,01097006702,0,0,1,,,1
54,01097006501,0,1,1,,,1
55,01097006502,0,0,0,,,0
56,01133965502,0,0,1,,,1
57,01133965900,0,1,1,,,1
58,01133965503,0,1,1,,,1
59,01133965501,0,0,1,,,1
60,01133965800,0,0,1,,,1
61,01133965700,1,0,1,2.0,0.2823987592108816,0
62,01133965600,0,0,1,,,1
63,01113030401,0,0,0,,,0
64,01113030402,0,0,0,,,0
65,01077011102,0,0,0,,,0
66,01077011603,0,0,0,,,0
67,01077011802,0,1,1,,,1
68,01077011101,0,1,1,,,1
69,01103005701,0,0,1,,,1
70,01091973000,0,0,1,,,1
71,01045020801,0,1,1,,,1
72,01091973300,0,0,1,,,1
73,01091973100,0,0,1,,,1
74,01091973200,0,0,1,,,1
75,01091973400,0,1,1,,,1
76,01091972900,1,0,1,1.0,-0.02360582556853858,0
77,01069040301,0,1,1,,,1
78,01069040302,0,0,1,,,1
79,01093964700,0,0,0,,,0
80,01093964400,1,0,1,2.0,0.1987947889557044,0
81,01093964500,1,1,1,2.0,0.03177169373762475,0
82,01093964300,0,0,1,,,1
83,01093964100,0,0,1,,,1
84,01093964600,0,0,1,,,1
85,01093964200,0,0,1,,,1
86,01093964000,0,0,1,,,1
87,01103005106,0,0,1,,,1
88,01103005702,0,1,1,,,1
89,01103005107,0,0,0,,,0
90,01103005108,0,0,0,,,0
91,01103005109,0,0,1,,,1
92,01101005502,0,0,0,,,0
93,01101005610,0,0,0,,,0
94,01101005612,0,0,0,,,0
95,01101005609,0,1,1,,,1
96,01101005504,0,0,0,,,0
97,01101005407,0,0,0,,,0
98,01101005501,0,0,0,,,0
99,01101005605,0,0,0,,,0
100,01101005608,0,0,0,,,0
101,01101005410,0,0,1,,,1
102,01101005503,0,0,0,,,0
103,01101005607,0,0,0,,,0
104,01101005611,0,0,0,,,0
105,01101005606,0,0,1,,,1
106,01125011402,0,0,1,,,1
107,01101005409,0,1,1,,,1
108,01101005408,0,0,0,,,0
109,01125011901,0,0,1,,,1
110,01125011902,0,0,1,,,1
111,01125011401,0,0,1,,,1
112,01033020703,0,0,0,,,0
113,01033020902,0,1,1,,,1
114,01033020704,0,0,0,,,0
115,01051030901,0,0,0,,,0
116,01051030701,0,0,0,,,0
117,01051030702,0,0,0,,,0
118,01097003703,0,0,0,,,0
119,01097005600,0,0,0,,,0
120,01097003100,0,0,0,,,0
121,01097003405,0,1,1,,,1
122,01097005700,0,0,0,,,0
123,01097006000,0,1,1,,,1
124,01097006403,1,0,1,3.0,0.33609458236608764,0
125,01097000401,1,0,1,3.0,0.33950953542216317,0
126,01097000500,0,0,1,,,1
127,01097002200,0,0,1,,,1
128,01097001901,0,0,1,,,1
129,01097001902,0,0,1,,,1
130,01097002000,0,0,0,,,0
131,01097003202,0,1,1,,,1
132,01097003408,0,1,1,,,1
133,01097003902,0,0,1,,,1
134,01097004800,0,0,1,,,1
